name,id,url,margins
"Tawheed Rochdale",UCwZBmlpKvi3vWcuYE6eU0sg,https://www.youtube.com/c/TawheedRochdale/videos
"The Manhaj of The Salaf",UCdLPjBfN8x9h_1ivPvLaZQA,https://www.youtube.com/c/TheManhajofTheSalaf/videos
"thesalafi",UChGcRyQV08muBq-XL2iDoFw,https://www.youtube.com/user/thesalafi/videos
"Thorn in the Throats",UChrCClIzv_Fye1Lvi9wsSWQ,https://www.youtube.com/c/ThornintheThroatschannel/videos
"TROID",UCMa9v8bwRI7ogkQsgMVJJjg,https://www.youtube.com/c/TROIDTube/videos
"WestLondonDawah",UCAM-qPhgahdAQw0Yyi5jWGw,https://www.youtube.com/c/WestLondonDawah/videos
"www.salafi.tv",UCVWj8j4YvN8bnAurdiTI2Qg,https://www.youtube.com/c/SalafiTV/videos
"الدعوة السلفية • Ad-Daʼwatus Salafīyyah",UC52xDzLyRANzaatuPIqImKg,https://www.youtube.com/c/DawahSalafiyaah/videos
"ردود على المصعفقة",UC-G2N9noTlT5zInMVJRBtTw,https://www.youtube.com/channel/UC-G2N9noTlT5zInMVJRBtTw/videos
"من هم الصعافقة ؟!",UCrOclQgXMablJeYwAQbxhFQ,https://www.youtube.com/channel/UCrOclQgXMablJeYwAQbxhFQ/videos
